Engine,Scenario,Time,Energy
CPP,low,2.08815729,114.50999999999999
CPP,low,2.260280319,125.83
CPP,low,2.086433991,115.48
CPP,low,2.142609947,115.21
CPP,low,2.112438651,115.87
CPP,low,2.042824824,111.33
CPP,low,2.138344581,118.22
CPP,low,2.136979891,120.37
CPP,low,2.207853655,123.62
CPP,low,2.178809456,118.22
CPP,low,2.230549954,120.2
CPP,low,2.148949504,117.57
CPP,low,2.230977867,120.41
CPP,low,2.168498235,116.2
CPP,low,2.166508321,120.41999999999999
CPP,low,2.122419643,115.55
CPP,low,2.133457167,121.81
CPP,low,2.124434648,116.93
CPP,low,2.076692653,113.33
CPP,low,2.094054249,117.19
CPP,mid,4.078364341,230.43
CPP,mid,4.302364635,241.16000000000003
CPP,mid,4.402217602,246.74
CPP,mid,4.267567033,240.41
CPP,mid,4.358471666,249.08
CPP,mid,4.271005147,236.08
CPP,mid,4.308332713,240.51
CPP,mid,4.263297795,242.43
CPP,mid,4.307689023,238.74
CPP,mid,4.238836571,235.51999999999998
CPP,mid,4.190737034,233.84
CPP,mid,4.335006093,248.48000000000002
CPP,mid,4.098720814,232.04
CPP,mid,4.267920326,238.02
CPP,mid,4.150986767,233.70999999999998
CPP,mid,4.228493273,241.25
CPP,mid,4.339997204,243.77
CPP,mid,4.319375123,241.53
CPP,mid,4.302372463,239.88
CPP,mid,4.219346136,239.6
CPP,mid,4.147717498,233.75
CPP,mid,4.172148899,232.11
CPP,mid,4.376540897,250.03
CPP,mid,4.367173993,243.29999999999998
CPP,mid,4.296162103,240.18
CPP,mid,4.164551744,231.34
CPP,mid,4.187550289,236.20000000000002
CPP,mid,4.186627258,240.47
CPP,mid,4.091771878,231.99
CPP,mid,4.155868456,234.01999999999998
CPP,mid,4.240598945,244.68
CPP,mid,4.25589622,247.29999999999998
CPP,mid,4.217286954,238.10000000000002
CPP,mid,4.316315545,243.48000000000002
CPP,mid,4.134353031,235.39
CPP,mid,4.325428388,246.83
CPP,mid,4.134711642,233.81
CPP,mid,4.131131612,232.1
CPP,mid,4.198307374,241.4
CPP,mid,4.120362758,229.77
CPP,mid,4.223720073,237.23
CPP,mid,4.228825675,237.78
CPP,mid,4.425554336,252.16
CPP,mid,4.139374687,233.35
CPP,mid,4.146983109,229.42000000000002
CPP,mid,4.399437322,252.52
CPP,mid,4.30021374,249.7
CPP,mid,4.394947513,246.60999999999999
CPP,mid,4.304537085,238.72
CPP,mid,4.303348811,240.58999999999997
CPP,mid,4.206348153,241.03
CPP,mid,4.160309045,230.2
CPP,mid,4.244086586,239.06
CPP,mid,4.178488653,238.88
CPP,mid,4.184676701,230.32
CPP,mid,4.288611326,242.32999999999998
CPP,mid,4.32236423,242.84
CPP,mid,4.434569881,247.17
CPP,mid,4.100636845,237.83
CPP,mid,4.195302547,237.16
CPP,mid,4.273344457,241.07999999999998
CPP,mid,4.184682601,237.57
CPP,mid,4.360987884,243.9
CPP,mid,4.400048441,245.31
CPP,mid,4.11455967,228.68
CPP,mid,4.24678607,248.16000000000003
CPP,mid,4.208156283,236.61
CPP,mid,4.111161056,230.76999999999998
CPP,mid,4.254075516,239.88
CPP,mid,4.159909525,237.08
CPP,mid,4.327699667,241.28000000000003
CPP,mid,4.239100051,237.77999999999997
CPP,mid,4.099138106,234.20999999999998
CPP,mid,4.186546487,239.06
CPP,mid,4.098776152,230.58
CPP,mid,4.285046638,241.95
CPP,mid,4.384024687,246.0
CPP,mid,4.292335727,242.31
CPP,mid,4.133101501,233.1
CPP,mid,4.314919318,240.95000000000002
CPP,mid,4.270987492,243.42999999999998
CPP,mid,4.283791103,243.03
CPP,mid,4.211832745,235.14000000000001
CPP,mid,4.169761119,236.27
CPP,mid,4.282155124,243.43
CPP,mid,4.185494811,233.60999999999999
CPP,mid,4.302173769,237.18
CPP,mid,4.156553376,237.46
CPP,mid,4.316046418,243.9
CPP,mid,4.36602247,248.04
CPP,mid,4.346894889,241.98
CPP,mid,4.122943157,233.27999999999997
CPP,mid,4.163095019,239.07
CPP,mid,4.385857098,243.46
CPP,mid,4.150570239,230.16
CPP,mid,4.131962401,236.25
CPP,mid,4.20987009,238.09
CPP,mid,4.199727759,236.1
CPP,mid,4.413302643,247.22000000000003
CPP,mid,4.386667605,247.5
JS,high,47.039434179,2908.59
JS,high,45.7178833,2844.0
JS,high,45.027267188,2825.2799999999997
JS,high,49.197557473,3021.8900000000003
JS,high,48.388345054,2994.0499999999997
JS,high,45.0881391,2816.11
JS,high,47.542888421,2946.85
JS,high,46.313277356,2893.14
JS,high,46.46105181,2886.21
JS,high,45.869621357,2890.19
JS,high,47.86144575,2963.83
JS,high,47.704263549,2935.31
JS,high,45.739183798,2867.9900000000002
JS,high,46.16919927,2866.34
JS,high,49.583164088,3040.04
JS,high,45.407621442,2851.84
JS,high,45.498600884,2858.55
JS,high,49.804393963,3081.6000000000004
JS,high,45.37051008,2845.22
JS,high,46.441463064,2904.44
JS,high,45.3487663,2861.76
JS,high,45.438300818,2850.7999999999997
JS,high,46.477768879,2882.63
JS,high,48.930658784,3002.25
JS,high,44.907149152,2823.4900000000002
JS,high,46.536258284,2895.44
JS,high,46.978270407,2912.7999999999997
JS,high,46.083890392,2874.46
JS,high,45.78822857,2895.05
JS,high,46.511985298,2888.4
JS,high,44.885568132,2852.73
JS,high,46.275345024,2899.1
JS,high,45.114188345,2839.2299999999996
JS,high,46.034310031,2875.3799999999997
JS,high,45.980472721,2879.7400000000002
JS,high,45.580203659,2873.4199999999996
JS,high,45.879854705,2857.5800000000004
JS,high,45.583161066,2860.69
JS,high,47.208498836,2928.29
JS,high,45.624919169,2843.92
JS,high,44.690940659,2811.74
JS,high,45.772684631,2855.9100000000003
JS,high,46.417235576,2886.07
JS,high,47.250372255,2926.91
JS,high,45.335120071,2853.07
JS,high,46.687044239,2894.48
JS,high,46.529295821,2906.96
JS,high,46.281828417,2899.83
JS,high,48.65702915,3012.92
JS,high,45.777540794,2887.0400000000004
JS,high,47.452910503,2945.7
JS,high,45.550718976,2849.15
JS,high,45.802565253,2853.4
JS,high,45.65504527,2859.41
JS,high,45.825132732,2872.2
JS,high,45.902421191,2889.14
JS,high,46.931792564,2920.17
JS,high,45.284728743,2850.3599999999997
JS,high,45.682557994,2848.86
JS,high,45.594244628,2858.5699999999997
JS,high,45.155363177,2853.4199999999996
JS,high,46.189321249,2890.31
JS,high,46.217150453,2903.89
JS,high,45.775248096,2883.1
JS,high,43.266848574,2764.5
JS,high,45.185729297,2835.46
JS,high,45.103933707,2819.09
JS,high,47.425360195,2919.39
JS,high,46.154681926,2894.1
JS,high,46.768778494,2927.17
JS,high,45.595867221,2872.51
JS,high,46.20907509,2883.68
JS,high,45.638078239,2856.88
JS,high,43.664959677,2787.8199999999997
JS,high,45.686961583,2879.81
JS,high,46.172061555,2892.1
JS,high,48.686303852,3026.59
JS,high,46.196179511,2877.91
JS,high,46.345870724,2885.72
JS,high,45.205723111,2842.82
JS,high,46.630156473,2909.4900000000002
